datetime,sym,close,volume
2018-02-20 07:55:00.000,BTCUSD.BNC,11535.00000000,186.13927200
2018-02-20 07:50:00.000,BTCUSD.BNC,11553.18000000,169.07990400
2018-02-20 07:45:00.000,BTCUSD.BNC,11600.00000000,327.59014500
2018-02-20 07:40:00.000,BTCUSD.BNC,11645.00000000,211.28552700
2018-02-20 07:35:00.000,BTCUSD.BNC,11594.93000000,104.42709800
2018-02-20 07:30:00.000,BTCUSD.BNC,11575.67000000,141.55737800
2018-02-20 07:25:00.000,BTCUSD.BNC,11574.95000000,128.36833900
2018-02-20 07:20:00.000,BTCUSD.BNC,11552.16000000,88.65106800
2018-02-20 07:15:00.000,BTCUSD.BNC,11555.00000000,114.78447300
2018-02-20 07:10:00.000,BTCUSD.BNC,11524.94000000,61.39893400
2018-02-20 07:05:00.000,BTCUSD.BNC,11535.99000000,129.67622600
2018-02-20 07:00:00.000,BTCUSD.BNC,11553.07000000,106.71621600
2018-02-20 06:55:00.000,BTCUSD.BNC,11568.10000000,212.06359300
2018-02-20 06:50:00.000,BTCUSD.BNC,11551.10000000,242.85500700
2018-02-20 06:45:00.000,BTCUSD.BNC,11499.98000000,113.97972700
2018-02-20 06:40:00.000,BTCUSD.BNC,11499.00000000,109.96569100
2018-02-20 06:35:00.000,BTCUSD.BNC,11467.99000000,77.16230700
2018-02-20 06:30:00.000,BTCUSD.BNC,11462.00000000,89.54397300
2018-02-20 06:25:00.000,BTCUSD.BNC,11483.95000000,71.37874100
2018-02-20 06:20:00.000,BTCUSD.BNC,11489.20000000,153.33893600
2018-02-20 06:15:00.000,BTCUSD.BNC,11483.30000000,103.65328600
2018-02-20 06:10:00.000,BTCUSD.BNC,11474.45000000,130.51422600
2018-02-20 06:05:00.000,BTCUSD.BNC,11462.63000000,170.10331700
2018-02-20 06:00:00.000,BTCUSD.BNC,11478.00000000,131.13139900
2018-02-20 05:55:00.000,BTCUSD.BNC,11451.33000000,105.54793700
2018-02-20 05:50:00.000,BTCUSD.BNC,11455.00000000,86.93012500
2018-02-20 05:45:00.000,BTCUSD.BNC,11433.17000000,232.58148700
2018-02-20 05:40:00.000,BTCUSD.BNC,11449.06000000,53.71067700
2018-02-20 05:35:00.000,BTCUSD.BNC,11477.59000000,71.41341200
2018-02-20 05:30:00.000,BTCUSD.BNC,11456.00000000,96.19143600
2018-02-20 05:25:00.000,BTCUSD.BNC,11437.26000000,53.54350500
2018-02-20 05:20:00.000,BTCUSD.BNC,11434.53000000,165.45124500
2018-02-20 05:15:00.000,BTCUSD.BNC,11449.59000000,97.89914900
2018-02-20 05:10:00.000,BTCUSD.BNC,11464.99000000,96.18806900
2018-02-20 05:05:00.000,BTCUSD.BNC,11438.30000000,79.78429900
2018-02-20 05:00:00.000,BTCUSD.BNC,11441.03000000,132.69903900
2018-02-20 04:55:00.000,BTCUSD.BNC,11465.03000000,132.04921000
2018-02-20 04:50:00.000,BTCUSD.BNC,11470.00000000,83.15521200
2018-02-20 04:45:00.000,BTCUSD.BNC,11465.00000000,172.79474700
2018-02-20 04:40:00.000,BTCUSD.BNC,11509.00000000,124.25657100
2018-02-20 04:35:00.000,BTCUSD.BNC,11514.32000000,212.96550000
2018-02-20 04:30:00.000,BTCUSD.BNC,11531.24000000,252.31180300
2018-02-20 04:25:00.000,BTCUSD.BNC,11480.00000000,89.30454300
2018-02-20 04:20:00.000,BTCUSD.BNC,11484.00000000,92.37748200
2018-02-20 04:15:00.000,BTCUSD.BNC,11480.04000000,112.05791400
2018-02-20 04:10:00.000,BTCUSD.BNC,11459.99000000,82.14841000
2018-02-20 04:05:00.000,BTCUSD.BNC,11438.69000000,63.67216400
2018-02-20 04:00:00.000,BTCUSD.BNC,11440.05000000,55.29160700
2018-02-20 03:55:00.000,BTCUSD.BNC,11424.10000000,67.60157500
2018-02-20 03:50:00.000,BTCUSD.BNC,11425.00000000,107.30012900
2018-02-20 03:45:00.000,BTCUSD.BNC,11443.33000000,152.30376300
2018-02-20 03:40:00.000,BTCUSD.BNC,11446.05000000,104.49851800
2018-02-20 03:35:00.000,BTCUSD.BNC,11426.33000000,78.72871500
2018-02-20 03:30:00.000,BTCUSD.BNC,11404.00000000,132.60844400
2018-02-20 03:25:00.000,BTCUSD.BNC,11389.00000000,74.40595700
2018-02-20 03:20:00.000,BTCUSD.BNC,11391.55000000,117.00491200
2018-02-20 03:15:00.000,BTCUSD.BNC,11382.00000000,137.52400800
2018-02-20 03:10:00.000,BTCUSD.BNC,11360.01000000,115.54689800
2018-02-20 03:05:00.000,BTCUSD.BNC,11370.18000000,203.99016100
2018-02-20 03:00:00.000,BTCUSD.BNC,11392.77000000,142.39412300
2018-02-20 02:55:00.000,BTCUSD.BNC,11373.99000000,258.54120400
2018-02-20 02:50:00.000,BTCUSD.BNC,11384.96000000,323.87847200
2018-02-20 02:45:00.000,BTCUSD.BNC,11428.00000000,86.05794800
2018-02-20 02:40:00.000,BTCUSD.BNC,11459.17000000,85.02282600
2018-02-20 02:35:00.000,BTCUSD.BNC,11439.10000000,74.09441000
2018-02-20 02:30:00.000,BTCUSD.BNC,11446.55000000,152.44295600
2018-02-20 02:25:00.000,BTCUSD.BNC,11463.96000000,121.04572800
2018-02-20 02:20:00.000,BTCUSD.BNC,11495.00000000,105.00564300
2018-02-20 02:15:00.000,BTCUSD.BNC,11480.78000000,88.09163800
2018-02-20 02:10:00.000,BTCUSD.BNC,11459.98000000,119.01461000
2018-02-20 02:05:00.000,BTCUSD.BNC,11482.50000000,69.16287200
2018-02-20 02:00:00.000,BTCUSD.BNC,11470.18000000,91.46086000
2018-02-20 01:55:00.000,BTCUSD.BNC,11476.32000000,271.49998300
2018-02-20 01:50:00.000,BTCUSD.BNC,11445.11000000,145.98461500
2018-02-20 01:45:00.000,BTCUSD.BNC,11397.00000000,142.39121800
2018-02-20 01:40:00.000,BTCUSD.BNC,11420.04000000,173.04230900
2018-02-20 01:35:00.000,BTCUSD.BNC,11409.68000000,133.05869200
2018-02-20 01:30:00.000,BTCUSD.BNC,11440.00000000,354.58493200
2018-02-20 01:25:00.000,BTCUSD.BNC,11481.92000000,412.68319200
2018-02-20 01:20:00.000,BTCUSD.BNC,11500.00000000,273.14453900
